"Basename","year","month","day","hour","class","method","count","project"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-07-15_08H00M24S",2023,7,15,8,"background","auto",56,"DESCENT"
"scan106_2023-07-15_08H00M24S",2023,7,15,8,"background","manual",0,"DESCENT"
"scan106_2023-07-15_08H00M24S",2023,7,15,8,"unknown","auto",1,"DESCENT"
"scan106_2023-07-15_08H00M24S",2023,7,15,8,"unknown","manual",2,"DESCENT"
"scan106_2023-07-16_08H00M23S",2023,7,16,8,"acari","auto",1,"DESCENT"
"scan106_2023-07-16_08H00M23S",2023,7,16,8,"acari","manual",7,"DESCENT"
"scan106_2023-07-16_08H00M23S",2023,7,16,8,"background","auto",54,"DESCENT"
"scan106_2023-07-16_08H00M23S",2023,7,16,8,"background","manual",0,"DESCENT"
"scan106_2023-07-17_08H00M23S",2023,7,17,8,"background","auto",118,"DESCENT"
"scan106_2023-07-17_08H00M23S",2023,7,17,8,"background","manual",0,"DESCENT"
"scan106_2023-07-18_08H00M24S",2023,7,18,8,"background","auto",87,"DESCENT"
"scan106_2023-07-18_08H00M24S",2023,7,18,8,"background","manual",0,"DESCENT"
"scan106_2023-07-18_08H00M24S",2023,7,18,8,"julida","auto",1,"DESCENT"
"scan106_2023-07-18_08H00M24S",2023,7,18,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-19_08H00M23S",2023,7,19,8,"background","auto",42,"DESCENT"
"scan106_2023-07-19_08H00M23S",2023,7,19,8,"background","manual",0,"DESCENT"
"scan106_2023-07-20_08H00M24S",2023,7,20,8,"background","auto",57,"DESCENT"
"scan106_2023-07-20_08H00M24S",2023,7,20,8,"background","manual",0,"DESCENT"
"scan106_2023-07-20_08H00M24S",2023,7,20,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-07-20_08H00M24S",2023,7,20,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-07-21_08H00M23S",2023,7,21,8,"background","auto",47,"DESCENT"
"scan106_2023-07-21_08H00M23S",2023,7,21,8,"background","manual",0,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"background","auto",51,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"background","manual",0,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"julida","auto",1,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-07-22_08H00M23S",2023,7,22,8,"pauropoda","manual",0,"DESCENT"
"scan106_2023-07-23_08H00M24S",2023,7,23,8,"background","auto",53,"DESCENT"
"scan106_2023-07-23_08H00M24S",2023,7,23,8,"background","manual",0,"DESCENT"
"scan106_2023-07-23_08H00M24S",2023,7,23,8,"julida","auto",2,"DESCENT"
"scan106_2023-07-23_08H00M24S",2023,7,23,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-24_08H00M23S",2023,7,24,8,"background","auto",34,"DESCENT"
