taxon,resolution,frequence,run_id,curve_type,AIC,param_a,param_b,param_c
Total,600,360,BAC01_2_600_360_run01,logistic,59.870370199816584,104.01424963630666,7.5969214175295114,2.9539403195965614
Total,600,360,BAC01_2_600_360_run01,logarithmic,85.18253295160184,-7.802787878841192,30.61485784536543,NA
Total,600,360,BAC01_3_600_360_run01,power,-35.48086382190899,90.50096702199836,0.9384949341525373,NA
Total,600,360,BAC01_3_600_360_run01,linear,94.93084989700145,7.163636363636602,79.47272727272724,NA
Total,600,360,BAC01_3_600_360_run01,logistic,105.07920867794965,1126.826205536734,7.072806985470237,3.0670973531356633
Total,600,360,BAC01_3_600_360_run01,logarithmic,135.3142455504565,-45.447662260870004,332.7517911440771,NA
Total,600,360,BAC02_2_600_360_run02,power,11.278630428563742,3.6713348068541216,1.5388783596158142,NA
Total,600,360,BAC02_2_600_360_run02,logistic,53.8583068371895,82.4854286030698,4.361857026593492,1.5785997665177283
Total,600,360,BAC02_2_600_360_run02,linear,55.69782235494941,-2.5277777777777715,9.749999999999998,NA
Total,600,360,BAC02_2_600_360_run02,michaelis_menten,56.21046038145126,1383.6229903421602,140.88303231434787,NA
Total,600,360,BAC02_2_600_360_run02,logarithmic,62.7117641669325,-5.8581569495817405,36.61378918560873,NA
Total,600,360,BAC02_4_600_360_run01,power,-13.803120899779621,13.7039135580691,1.1914090417470584,NA
Total,600,360,BAC02_4_600_360_run01,linear,85.3843408986026,-15.10909090909086,22.56363636363636,NA
Total,600,360,BAC02_4_600_360_run01,logistic,87.06528471869868,262.10738020528385,6.530943434483289,2.347435075176792
Total,600,360,BAC02_4_600_360_run01,logarithmic,109.19482652481567,-29.569678260866517,94.1742354999261,NA
Total,600,360,BAC03_2_600_360_run01,power,-18.689562405594096,3.833284267696209,1.2105677804949537,NA
Total,600,360,BAC03_2_600_360_run01,linear,59.559720387442,-5.581818181818146,6.763636363636359,NA
Total,600,360,BAC03_2_600_360_run01,logistic,63.1025805653215,99.39630181874368,8.249043343977474,2.976558921479462
